id,grade,annual_inc,short_emp,emp_length_num,home_ownership,dti,purpose,term,last_delinq_none,last_major_derog_none,revol_util,total_rec_late_fee,od_ratio,bad_loan
11454641,A,100000.0,1,1,RENT,26.27,credit_card, 36 months,1,,43.2,0.0,0.1606240771977423,0
9604874,A,83000.0,0,4,OWN,5.39,credit_card, 36 months,0,,21.5,0.0,0.8107767680895971,0
9684700,D,78000.0,0,11,MORTGAGE,18.45,debt_consolidation, 60 months,1,,46.3,0.0,0.035147174625852706,1
9695736,D,37536.0,0,6,MORTGAGE,12.28,medical, 60 months,0,,10.7,0.0,0.534886728745269,1
9795013,D,65000.0,0,11,MORTGAGE,11.26,debt_consolidation, 36 months,0,,15.2,0.0,0.16650012302602912,0
9856168,E,45600.0,1,0,MORTGAGE,1.5,medical, 60 months,0,,14.6,0.0,0.3084103799677348,1
9825536,B,45000.0,0,5,MORTGAGE,18.69,debt_consolidation, 36 months,0,,29.5,0.0,0.04506241289143076,1
7450630,D,96000.0,1,1,RENT,6.41,other, 36 months,0,,55.9,0.0,0.23857612632391179,0
9767996,G,60000.0,0,11,MORTGAGE,26.27,medical, 60 months,0,,94.1,0.0,0.674834529730422,0
9858164,A,130000.0,0,3,MORTGAGE,14.6,medical, 36 months,1,,82.7,0.0,0.782382749517636,0
9828271,E,102000.0,0,11,MORTGAGE,23.9,credit_card, 60 months,0,,57.0,0.0,0.6952016345444082,0
9934676,D,84000.0,0,11,,19.56,debt_consolidation, 36 months,0,,52.5,0.0,0.32895444940415053,1
9001565,C,200000.0,0,11,MORTGAGE,7.21,credit_card, 60 months,1,,29.8,0.0,0.49403186630191775,0
9808485,C,40800.0,1,1,OWN,26.21,credit_card, 36 months,1,,28.4,0.0,0.5241213627214327,1
10064734,E,70000.0,0,11,MORTGAGE,11.23,home_improvement, 60 months,0,,84.3,0.0,0.29854124528692305,0
10104967,B,80000.0,0,11,RENT,4.02,debt_consolidation, 36 months,0,,68.6,0.0,0.46310814016744195,0
9924735,C,120000.0,0,4,MORTGAGE,14.02,credit_card, 60 months,1,,71.2,0.0,0.9847842926239632,0
10105115,B,37000.0,1,1,OWN,19.62,small_business, 36 months,1,,68.5,0.0,0.5011349210313825,1
10105178,C,90000.0,0,11,MORTGAGE,7.13,credit_card, 60 months,0,,69.8,0.0,0.39807244687704013,0
10075202,A,150000.0,0,4,OWN,7.57,debt_consolidation, 36 months,1,,34.4,0.0,0.7279053168723972,0
9654640,C,126000.0,0,9,MORTGAGE,11.48,debt_consolidation, 60 months,1,,64.7,0.0,0.863330970373209,1
10175470,E,55200.0,0,4,MORTGAGE,22.83,medical, 60 months,0,,42.1,0.0,0.026169537230963602,0
8944858,D,75000.0,0,7,OWN,23.58,debt_consolidation, 60 months,0,,51.6,0.0,0.2900171810754629,0
10214568,C,30000.0,0,4,RENT,30.28,credit_card, 36 months,0,,43.6,0.0,0.789069194141248,0
10075541,C,27000.0,1,1,RENT,18.09,debt_consolidation, 36 months,0,,0.0,0.0,0.45711966948017924,1
10075730,D,35400.0,0,11,MORTGAGE,15.73,credit_card, 60 months,0,,36.6,0.0,0.006928480444867158,0
10115896,C,33000.0,1,1,RENT,15.6,debt_consolidation, 36 months,1,,46.7,0.0,0.4193354567733698,0
10086141,B,43000.0,0,2,,27.75,debt_consolidation, 36 months,1,,83.6,0.0,0.3306747638242983,1
10106041,B,62692.0,0,9,,9.63,debt_consolidation, 36 months,0,,59.2,0.0,0.6041521276926352,0
10166062,F,70000.0,0,7,MORTGAGE,13.85,small_business, 60 months,1,,61.2,0.0,0.324620836649795,0
10086164,A,37000.0,0,11,RENT,13.95,credit_card, 36 months,1,,48.0,0.0,0.9812510806208387,0
10126218,B,79000.0,1,1,MORTGAGE,19.87,debt_consolidation, 36 months,0,,57.1,0.0,0.5882319508967392,0
10166166,C,160000.0,0,6,MORTGAGE,13.58,debt_consolidation, 36 months,0,,76.0,0.0,0.1310919483127273,0
9645048,C,124800.0,1,1,MORTGAGE,4.23,debt_consolidation, 36 months,0,,5.5,0.0,0.5209777036373546,0
10115641,B,42000.0,0,11,MORTGAGE,18.37,debt_consolidation, 36 months,1,,55.3,0.0,0.3579784002842924,1
10096681,B,130000.0,1,1,MORTGAGE,8.94,debt_consolidation, 36 months,0,,41.4,0.0,0.014999977413722387,0
10126703,C,45000.0,0,11,RENT,22.91,debt_consolidation, 36 months,1,,26.8,0.0,0.09642990663856532,0
10156788,A,65500.0,0,7,MORTGAGE,27.68,major_purchase, 36 months,0,,70.6,0.0,0.7842347866592828,1
10176783,C,70000.0,1,1,MORTGAGE,27.36,debt_consolidation, 60 months,0,,49.0,0.0,0.42700304434831415,0
10076700,E,90300.0,0,11,MORTGAGE,3.52,debt_consolidation, 36 months,0,,31.0,0.0,0.19795182277180057,0
10156609,D,50000.0,0,6,,8.5,debt_consolidation, 36 months,0,,47.7,0.0,0.6241015266726274,0
10086931,B,28600.0,1,0,RENT,11.37,debt_consolidation, 36 months,1,,40.0,0.0,0.6402889392433005,1
10106916,C,54000.0,0,2,RENT,23.76,credit_card, 36 months,1,,39.2,0.0,0.27070274792734816,1
10066954,A,90000.0,0,2,MORTGAGE,20.51,debt_consolidation, 36 months,0,,15.7,0.0,0.1298177834681652,0
10127136,C,75000.0,0,11,MORTGAGE,7.46,debt_consolidation, 36 months,0,0.0,12.4,0.0,0.47272311680293455,1
10087163,C,120000.0,1,1,OWN,2.17,other, 36 months,1,,15.1,0.0,0.39062647670689254,0
10137295,C,50000.0,0,7,MORTGAGE,7.06,debt_consolidation, 60 months,1,,4.0,0.0,0.4050801158438022,0
10127016,C,115000.0,0,2,RENT,7.8,debt_consolidation, 36 months,0,,86.8,0.0,0.3761490407356681,0
10077050,C,270000.0,0,6,MORTGAGE,18.77,debt_consolidation, 36 months,1,,81.5,0.0,0.2921747478240383,0
